hora,troca,aero
1654704000000,1,BR
1654707600000,1,BR
1654711200000,1,BR
1654714800000,1,BR
1654718400000,0,BR
1654722000000,0,BR
1654725600000,0,BR
1654729200000,0,BR
1654732800000,0,BR
1654736400000,0,BR
1654740000000,0,BR
1654743600000,0,BR
1654747200000,0,BR
1654750800000,0,BR
1654754400000,0,BR
1654758000000,0,BR
1654761600000,0,BR
1654765200000,0,BR
1654768800000,0,BR
1654772400000,0,BR
1654776000000,0,BR
1654779600000,0,BR
1654783200000,0,BR
1654786800000,0,BR
1654790400000,0,BR
1654794000000,0,BR
1654797600000,1,BR
1654801200000,0,BR
1654804800000,0,BR
1654808400000,0,BR
1654812000000,0,BR
1654815600000,0,BR
1654819200000,0,BR
1654822800000,0,BR
1654826400000,0,BR
1654830000000,0,BR
1654833600000,0,BR
1654837200000,0,BR
1654840800000,0,BR
1654844400000,0,BR
1654848000000,0,BR
1654851600000,0,BR
1654855200000,1,BR
1654858800000,1,BR
1654862400000,1,BR
1654866000000,1,BR
1654869600000,1,BR
1654873200000,1,BR
1654876800000,0,BR
1654880400000,0,BR
1654884000000,0,BR
1654887600000,1,BR
1654891200000,1,BR
1654894800000,1,BR
1654898400000,1,BR
1654902000000,1,BR
1654905600000,1,BR
1654909200000,1,BR
1654912800000,1,BR
1654916400000,1,BR
1654920000000,1,BR
1654923600000,0,BR
1654927200000,0,BR
1654930800000,0,BR
1654934400000,0,BR
1654938000000,0,BR
1654941600000,0,BR
1654945200000,0,BR
1654948800000,0,BR
1654952400000,0,BR
1654956000000,0,BR
1654959600000,0,BR
1654963200000,0,BR
1654966800000,0,BR
1654970400000,0,BR
1654974000000,0,BR
1654977600000,0,BR
1654981200000,0,BR
1654984800000,0,BR
1654988400000,0,BR
1654992000000,0,BR
1654995600000,0,BR
1654999200000,0,BR
1655002800000,0,BR
1655006400000,0,BR
1655010000000,0,BR
1655013600000,0,BR
1655017200000,0,BR
1655020800000,0,BR
1655024400000,1,BR
1655028000000,1,BR
1655031600000,0,BR
1655035200000,1,BR
1655038800000,1,BR
1655042400000,1,BR
1655046000000,1,BR
1655049600000,1,BR
1655053200000,1,BR
1655056800000,1,BR
1655060400000,1,BR
1655064000000,1,BR
1655067600000,1,BR
1655071200000,1,BR
1655074800000,1,BR
1655078400000,1,BR
1655082000000,1,BR
1655085600000,0,BR
1655089200000,0,BR
1655092800000,1,BR
1655096400000,1,BR
1655100000000,0,BR
1655103600000,0,BR
1655107200000,0,BR
1655110800000,0,BR
1655114400000,0,BR
1655118000000,0,BR
1655121600000,0,BR
1655125200000,0,BR
1655128800000,0,BR
1655132400000,0,BR
1655136000000,0,BR
1655139600000,0,BR
1655143200000,0,BR
1655146800000,0,BR
1655150400000,0,BR
1655154000000,0,BR
1655157600000,0,BR
1655161200000,0,BR
1655164800000,0,BR
1655168400000,0,BR
1655172000000,0,BR
1655175600000,0,BR
1655179200000,0,BR
1655182800000,0,BR
1655186400000,0,BR
1655190000000,0,BR
1655193600000,0,BR
1655197200000,0,BR
1655200800000,0,BR
1655204400000,0,BR
1655208000000,0,BR
1655211600000,0,BR
1655215200000,0,BR
1655218800000,0,BR
1655222400000,0,BR
1655226000000,0,BR
1655229600000,0,BR
1655233200000,0,BR
1655236800000,0,BR
1655240400000,0,BR
1655244000000,0,BR
1655247600000,0,BR
1655251200000,0,BR
1655254800000,0,BR
1655258400000,0,BR
1655262000000,0,BR
1655265600000,0,BR
1655269200000,0,BR
1655272800000,0,BR
1655276400000,0,BR
1655280000000,0,BR
1655283600000,0,BR
1655287200000,0,BR
1655290800000,0,BR
1655294400000,0,BR
1655298000000,0,BR
1655301600000,0,BR
1655305200000,0,BR
1655308800000,0,BR
1655312400000,1,BR
1655316000000,1,BR
1655319600000,1,BR
1655323200000,0,BR
1655326800000,0,BR
1655330400000,0,BR
1655334000000,0,BR
1655337600000,0,BR
1655341200000,0,BR
1655344800000,0,BR
1655348400000,0,BR
1655352000000,0,BR
1655355600000,0,BR
1655359200000,0,BR
1655362800000,0,BR
1655366400000,0,BR
1655370000000,0,BR
1655373600000,0,BR
1655377200000,0,BR
1655380800000,0,BR
1655384400000,0,BR
1655388000000,0,BR
1655391600000,0,BR
1655395200000,0,BR
1655398800000,0,BR
1655402400000,0,BR
1655406000000,0,BR
1655409600000,0,BR
1655413200000,0,BR
1655416800000,0,BR
1655420400000,0,BR
1655424000000,0,BR
1655427600000,0,BR
1655431200000,0,BR
1655434800000,0,BR
1655438400000,0,BR
1655442000000,0,BR
1655445600000,0,BR
1655449200000,0,BR
1655452800000,0,BR
1655456400000,0,BR
1655460000000,0,BR
1655463600000,0,BR
1655467200000,0,BR
1655470800000,0,BR
1655474400000,0,BR
1655478000000,0,BR
1655481600000,0,BR
1655485200000,0,BR
1655488800000,0,BR
1655492400000,0,BR
1655496000000,0,BR
1655499600000,0,BR
1655503200000,0,BR
1655506800000,0,BR
1655510400000,0,BR
1655514000000,1,BR
1655517600000,0,BR
1655521200000,0,BR
1655524800000,1,BR
1655528400000,0,BR
1655532000000,0,BR
1655535600000,0,BR
1655539200000,1,BR
1655542800000,1,BR
1655546400000,1,BR
1655550000000,1,BR
1655553600000,1,BR
1655557200000,1,BR
1655560800000,1,BR
1655564400000,1,BR
1655568000000,1,BR
1655571600000,0,BR
1655575200000,0,BR
1655578800000,0,BR
1655582400000,0,BR
1655586000000,0,BR
1655589600000,0,BR
1655593200000,0,BR
1655596800000,0,BR
1655600400000,0,BR
1655604000000,0,BR
1655607600000,0,BR
1655611200000,0,BR
1655614800000,0,BR
1655618400000,0,BR
1655622000000,0,BR
1655625600000,0,BR
1655629200000,0,BR
1655632800000,0,BR
1655636400000,0,BR
1655640000000,0,BR
1655643600000,0,BR
1655647200000,0,BR
1655650800000,0,BR
1655654400000,0,BR
1655658000000,0,BR
1655661600000,0,BR
1655665200000,0,BR
1655668800000,0,BR
1655672400000,0,BR
1655676000000,0,BR
1655679600000,0,BR
1655683200000,0,BR
1655686800000,0,BR
1655690400000,0,BR
1655694000000,0,BR
1655697600000,0,BR
1655701200000,0,BR
1655704800000,0,BR
1655708400000,0,BR
1655712000000,0,BR
1655715600000,0,BR
1655719200000,0,BR
1655722800000,0,BR
1655726400000,1,BR
1655730000000,0,BR
1655733600000,1,BR
1655737200000,1,BR
1655740800000,1,BR
1655744400000,1,BR
1655748000000,1,BR
1655751600000,1,BR
1655755200000,0,BR
1655758800000,0,BR
1655762400000,0,BR
1655766000000,0,BR
1655769600000,0,BR
1655773200000,0,BR
1655776800000,0,BR
1655780400000,0,BR
1655784000000,0,BR
1655787600000,0,BR
1655791200000,0,BR
1655794800000,0,BR
1655798400000,0,BR
1655802000000,0,BR
1655805600000,0,BR
1655809200000,0,BR
1655812800000,0,BR
1655816400000,0,BR
1655820000000,0,BR
1655823600000,1,BR
1655827200000,1,BR
1655830800000,1,BR
1655834400000,1,BR
1655838000000,1,BR
1655841600000,1,BR
1655845200000,1,BR
1655848800000,0,BR
1655852400000,1,BR
1655856000000,1,BR
1655859600000,1,BR
1655863200000,1,BR
1655866800000,1,BR
1655870400000,1,BR
1655874000000,1,BR
1655877600000,1,BR
1655881200000,0,BR
1655884800000,1,BR
1655888400000,1,BR
1655892000000,1,BR
1655895600000,1,BR
1655899200000,1,BR
1655902800000,1,BR
1655906400000,1,BR
1655910000000,1,BR
1655913600000,0,BR
1655917200000,0,BR
1655920800000,0,BR
1655924400000,1,BR
1655928000000,1,BR
1655931600000,1,BR
1655935200000,1,BR
1655938800000,1,BR
1655942400000,1,BR
1655946000000,1,BR
1655949600000,1,BR
1655953200000,1,BR
1655956800000,1,BR
1655960400000,1,BR
1655964000000,1,BR
1655967600000,1,BR
1655971200000,1,BR
1655974800000,1,BR
1655978400000,1,BR
1655982000000,1,BR
1655985600000,1,BR
1655989200000,1,BR
1655992800000,1,BR
1655996400000,1,BR
1656000000000,1,BR
1656003600000,0,BR
1656007200000,0,BR
1656010800000,1,BR
1656014400000,1,BR
1656018000000,1,BR
1656021600000,1,BR
1656025200000,1,BR
1656028800000,1,BR
1656032400000,1,BR
1656036000000,1,BR
1656039600000,1,BR
1656043200000,1,BR
1656046800000,1,BR
1656050400000,1,BR
1656054000000,0,BR
1656057600000,0,BR
1656061200000,1,BR
1656064800000,1,BR
1656068400000,0,BR
1656072000000,0,BR
1656075600000,0,BR
1656079200000,1,BR
1656082800000,1,BR
1656086400000,1,BR
1656090000000,1,BR
1656093600000,1,BR
1656097200000,1,BR
1656100800000,1,BR
1656104400000,0,BR
1656108000000,0,BR
1656111600000,0,BR
1656115200000,0,BR
1656118800000,0,BR
1656122400000,0,BR
1656126000000,1,BR
1656129600000,0,BR
1656133200000,0,BR
1656136800000,0,BR
1656140400000,0,BR
1656144000000,0,BR
1656147600000,0,BR
1656151200000,0,BR
1656154800000,0,BR
1656158400000,0,BR
1656162000000,0,BR
1656165600000,1,BR
1656169200000,1,BR
1656172800000,1,BR
1656176400000,1,BR
1656180000000,1,BR
1656183600000,0,BR
1656187200000,1,BR
1656190800000,1,BR
1656194400000,0,BR
1656198000000,0,BR
1656201600000,0,BR
1656205200000,0,BR
1656208800000,0,BR
1656212400000,0,BR
1656216000000,0,BR
1656219600000,0,BR
1656223200000,0,BR
1656226800000,0,BR
1656230400000,0,BR
1656234000000,0,BR
1656237600000,0,BR
1656241200000,0,BR
1656244800000,0,BR
1656248400000,0,BR
1656252000000,0,BR
1656255600000,0,BR
1656259200000,0,BR
1656262800000,0,BR
1656266400000,0,BR
1656270000000,0,BR
1656273600000,0,BR
1656277200000,0,BR
1656280800000,0,BR
1656284400000,0,BR
1656288000000,0,BR
1656291600000,0,BR
1656295200000,0,BR
1656298800000,0,BR
1656302400000,0,BR
1656306000000,0,BR
1656309600000,0,BR
1656313200000,0,BR
1656316800000,0,BR
1656320400000,0,BR
1656324000000,0,BR
1656327600000,0,BR
1656331200000,0,BR
1656334800000,0,BR
1656338400000,0,BR
1656342000000,0,BR
1656345600000,0,BR
1656349200000,1,BR
1656352800000,1,BR
1656356400000,1,BR
1656360000000,1,BR
1656363600000,0,BR
1656367200000,0,BR
1656370800000,0,BR
1656374400000,0,BR
1656378000000,0,BR
1656381600000,0,BR
1656385200000,0,BR
1656388800000,0,BR
1656392400000,0,BR
1656396000000,0,BR
1656399600000,0,BR
1656403200000,0,BR
1656406800000,0,BR
1656410400000,0,BR
1656414000000,0,BR
1656417600000,0,BR
1656421200000,1,BR
1656424800000,1,BR
1656428400000,1,BR
1656432000000,1,BR
1656435600000,0,BR
1656439200000,0,BR
1656442800000,1,BR
1656446400000,1,BR
1656450000000,1,BR
1656453600000,1,BR
1656457200000,1,BR
1656460800000,1,BR
1656464400000,1,BR
1656468000000,1,BR
1656471600000,1,BR
1656475200000,0,BR
1656478800000,0,BR
1656482400000,1,BR
1656486000000,1,BR
1656489600000,1,BR
1656493200000,1,BR
1656496800000,1,BR
1656500400000,1,BR
1656504000000,1,BR
1656507600000,1,BR
1656511200000,1,BR
1656514800000,0,BR
1656518400000,0,BR
1656522000000,0,BR
1656525600000,0,BR
1656529200000,0,BR
1656532800000,1,BR
1656536400000,1,BR
1656540000000,1,BR
1656543600000,1,BR
1656547200000,0,BR
1656550800000,0,BR
1656554400000,0,BR
1656558000000,0,BR
1656561600000,0,BR
1656565200000,0,BR
1656568800000,0,BR
1656572400000,0,BR
1656576000000,0,BR
1656579600000,0,BR
1656583200000,1,BR
1656586800000,1,BR
1656590400000,0,BR
1656594000000,1,BR
1656597600000,1,BR
1656601200000,1,BR
1656604800000,1,BR
1656608400000,1,BR
1656612000000,1,BR
1656615600000,1,BR
1656619200000,1,BR
1656622800000,0,BR
1656626400000,0,BR
1656630000000,0,BR
1656633600000,0,BR
1656637200000,0,BR
1656640800000,0,BR
1656644400000,0,BR
1656648000000,0,BR
1656651600000,0,BR
1656655200000,0,BR
1656658800000,0,BR
1656662400000,0,BR
1656666000000,0,BR
1656669600000,0,BR
1656673200000,0,BR
1656676800000,0,BR
1656680400000,0,BR
1656684000000,0,BR
1656687600000,0,BR
1656691200000,0,BR
1656694800000,1,BR
1656698400000,1,BR
1656702000000,1,BR
1656705600000,1,BR
1656709200000,0,BR
1656712800000,0,BR
1656716400000,0,BR
1656720000000,0,BR
1656723600000,0,BR
1656727200000,0,BR
1656730800000,0,BR
1656734400000,0,BR
1656738000000,0,BR
1656741600000,0,BR
1656745200000,0,BR
1656748800000,0,BR
1656752400000,0,BR
1656756000000,0,BR
1656759600000,0,BR
1656763200000,0,BR
1656766800000,1,BR
1656770400000,1,BR
1656774000000,1,BR
1656777600000,1,BR
1656781200000,0,BR
1656784800000,0,BR
1656788400000,1,BR
1656792000000,1,BR
1656795600000,0,BR
1656799200000,1,BR
1656802800000,1,BR
1656806400000,1,BR
1656810000000,1,BR
1656813600000,1,BR
1656817200000,1,BR
1656820800000,0,BR
1656824400000,1,BR
1656828000000,1,BR
1656831600000,1,BR
1656835200000,1,BR
1656838800000,1,BR
1656842400000,0,BR
1656846000000,1,BR
1656849600000,1,BR
1656853200000,1,BR
1656856800000,1,BR
1656860400000,1,BR
1656864000000,1,BR
1656867600000,1,BR
1656871200000,0,BR
1656874800000,1,BR
1656878400000,1,BR
1656882000000,0,BR
1656885600000,0,BR
1656889200000,0,BR
1656892800000,0,BR
1656896400000,0,BR
1656900000000,0,BR
1656903600000,0,BR
1656907200000,0,BR
1656910800000,0,BR
1656914400000,0,BR
1656918000000,0,BR
1656921600000,0,BR
1656925200000,0,BR
1656928800000,0,BR
1656932400000,0,BR
1656936000000,0,BR
1656939600000,1,BR
1656943200000,1,BR
1656946800000,1,BR
1656950400000,1,BR
1656954000000,1,BR
1656957600000,1,BR
1656961200000,1,BR
1656964800000,1,BR
1656968400000,0,BR
1656972000000,0,BR
1656975600000,1,BR
1656979200000,1,BR
1656982800000,1,BR
1656986400000,1,BR
1656990000000,1,BR
1656993600000,1,BR
1656997200000,1,BR
1657000800000,1,BR
1657004400000,1,BR
1657008000000,1,BR
1657011600000,1,BR
1657015200000,1,BR
1657018800000,1,BR
1657022400000,1,BR
1657026000000,1,BR
1657029600000,1,BR
1657033200000,1,BR
1657036800000,0,BR
1657040400000,0,BR
1657044000000,1,BR
1657047600000,1,BR
1657051200000,1,BR
1657054800000,0,BR
1657058400000,0,BR
1657062000000,1,BR
1657065600000,1,BR
1657069200000,1,BR
1657072800000,1,BR
1657076400000,1,BR
1657080000000,1,BR
1657083600000,1,BR
1657087200000,0,BR
1657090800000,1,BR
1657094400000,1,BR
1657098000000,1,BR
1657101600000,1,BR
1657105200000,1,BR
1657108800000,1,BR
1657112400000,1,BR
1657116000000,1,BR
1657119600000,1,BR
1657123200000,1,BR
1657126800000,1,BR
1657130400000,1,BR
1657134000000,1,BR
1657137600000,1,BR
1657141200000,0,BR
1657144800000,0,BR
1657148400000,0,BR
1657152000000,1,BR
1657155600000,1,BR
1657159200000,1,BR
1657162800000,1,BR
1657166400000,0,BR
1657170000000,1,BR
1657173600000,1,BR
1657177200000,0,BR
1657180800000,1,BR
1657184400000,1,BR
1657188000000,1,BR
1657191600000,1,BR
1657195200000,1,BR
1657198800000,1,BR
1657202400000,1,BR
1657206000000,1,BR
1657209600000,0,BR
1657213200000,0,BR
1657216800000,0,BR
1657220400000,1,BR
1657224000000,1,BR
1657227600000,1,BR
1657231200000,1,BR
1657234800000,1,BR
1657238400000,1,BR
1657242000000,1,BR
1657245600000,0,BR
1657249200000,0,BR
1657252800000,0,BR
1657256400000,0,BR
1657260000000,0,BR
1657263600000,0,BR
1657267200000,0,BR
1657270800000,0,BR
1657274400000,0,BR
1657278000000,0,BR
1657281600000,0,BR
1657285200000,0,BR
1657288800000,0,BR
1657292400000,0,BR
1657296000000,0,BR
1657299600000,0,BR
1657303200000,0,BR
1657306800000,0,BR
1657310400000,0,BR
1657314000000,0,BR
1657317600000,0,BR
1657321200000,0,BR
1657324800000,0,BR
1657328400000,0,BR
1657332000000,0,BR
1657335600000,0,BR
1657339200000,0,BR
1657342800000,0,BR
1657346400000,0,BR
1657350000000,0,BR
1657353600000,0,BR
1657357200000,0,BR
1657360800000,0,BR
1657364400000,0,BR
1657368000000,0,BR
1657371600000,0,BR
1657375200000,0,BR
1657378800000,0,BR
1657382400000,0,BR
1657386000000,0,BR
1657389600000,0,BR
1657393200000,0,BR
1657396800000,0,BR
1657400400000,0,BR
1657404000000,0,BR
1657407600000,0,BR
1657411200000,0,BR
1657414800000,0,BR
1657418400000,0,BR
1657422000000,0,BR
1657425600000,0,BR
1657429200000,0,BR
1657432800000,0,BR
1657436400000,0,BR
1657440000000,0,BR
1657443600000,0,BR
1657447200000,0,BR
1657450800000,0,BR
1657454400000,0,BR
1657458000000,0,BR
1657461600000,0,BR
1657465200000,1,BR
1657468800000,1,BR
1657472400000,1,BR
1657476000000,1,BR
1657479600000,1,BR
1657483200000,1,BR
1657486800000,1,BR
1657490400000,0,BR
1657494000000,1,BR
1657497600000,1,BR
1657501200000,0,BR
1657504800000,0,BR
1657508400000,0,BR
1657512000000,0,BR
1657515600000,0,BR
1657519200000,0,BR
1657522800000,0,BR
1657526400000,0,BR
1657530000000,0,BR
1657533600000,0,BR
1657537200000,1,BR
1657540800000,1,BR
1657544400000,1,BR
1657548000000,1,BR
1657551600000,1,BR
1657555200000,1,BR
1657558800000,0,BR
1657562400000,0,BR
1657566000000,1,BR
1657569600000,1,BR
1657573200000,1,BR
1657576800000,1,BR
1657580400000,1,BR
1657584000000,0,BR
1657587600000,0,BR
1657591200000,1,BR
1657594800000,1,BR
1657598400000,1,BR
1657602000000,0,BR
1657605600000,0,BR
1657609200000,1,BR
1657612800000,1,BR
1657616400000,0,BR
1657620000000,1,BR
1657623600000,0,BR
1657627200000,0,BR
1657630800000,1,BR
1657634400000,1,BR
1657638000000,0,BR
1657641600000,0,BR
1657645200000,0,BR
1657648800000,0,BR
1657652400000,0,BR
1657656000000,1,BR
1657659600000,1,BR
1657663200000,1,BR
1657666800000,1,BR
1657670400000,1,BR
1657674000000,0,BR
1657677600000,1,BR
1657681200000,0,BR
1657684800000,0,BR
1657688400000,0,BR
1657692000000,0,BR
1657695600000,0,BR
1657699200000,0,BR
1657702800000,0,BR
1657706400000,0,BR
1657710000000,0,BR
1657713600000,0,BR
1657717200000,0,BR
1657720800000,0,BR
1657724400000,0,BR
1657728000000,0,BR
1657731600000,0,BR
1657735200000,0,BR
1657738800000,0,BR
1657742400000,0,BR
1657746000000,0,BR
1657749600000,0,BR
1657753200000,0,BR
1657756800000,0,BR
1657760400000,0,BR
1657764000000,0,BR
1657767600000,0,BR
1657771200000,0,BR
1657774800000,0,BR
1657778400000,0,BR
1657782000000,0,BR
1657785600000,0,BR
1657789200000,0,BR
1657792800000,0,BR
1657796400000,0,BR
1657800000000,0,BR
1657803600000,0,BR
1657807200000,0,BR
1657810800000,0,BR
1657814400000,0,BR
1657818000000,0,BR
1657821600000,0,BR
1657825200000,0,BR
1657828800000,0,BR
1657832400000,0,BR
1657836000000,0,BR
1657839600000,0,BR
1657843200000,0,BR
1657846800000,0,BR
1657850400000,0,BR
1657854000000,0,BR
1657857600000,0,BR
1657861200000,0,BR
1657864800000,0,BR
1657868400000,0,BR
1657872000000,0,BR
1657875600000,0,BR
1657879200000,0,BR
1657882800000,0,BR
1657886400000,0,BR
1657890000000,0,BR
1657893600000,1,BR
1657897200000,1,BR
1657900800000,0,BR
1657904400000,0,BR
1657908000000,0,BR
1657911600000,1,BR
1657915200000,1,BR
1657918800000,1,BR
1657922400000,1,BR
1657926000000,1,BR
1657929600000,1,BR
1657933200000,1,BR
1657936800000,1,BR
1657940400000,1,BR
1657944000000,1,BR
1657947600000,1,BR
1657951200000,1,BR
1657954800000,1,BR
1657958400000,1,BR
1657962000000,1,BR
1657965600000,1,BR
1657969200000,1,BR
1657972800000,1,BR
1657976400000,1,BR
1657980000000,1,BR
1657983600000,0,BR
1657987200000,0,BR
1657990800000,0,BR
1657994400000,0,BR
1657998000000,0,BR
1658001600000,1,BR
1658005200000,1,BR
1658008800000,1,BR
1658012400000,1,BR
1658016000000,1,BR
1658019600000,1,BR
1658023200000,1,BR
1658026800000,1,BR
1658030400000,1,BR
1658034000000,1,BR
1658037600000,1,BR
1658041200000,1,BR
1658044800000,1,BR
1658048400000,1,BR
1658052000000,1,BR
1658055600000,1,BR
1658059200000,1,BR
1658062800000,1,BR
1658066400000,1,BR
1658070000000,1,BR
1658073600000,1,BR
1658077200000,1,BR
1658080800000,1,BR
1658084400000,0,BR
1658088000000,0,BR
1658091600000,0,BR
1658095200000,0,BR
1658098800000,0,BR
1658102400000,0,BR
1658106000000,0,BR
1658109600000,0,BR
1658113200000,0,BR
1658116800000,0,BR
1658120400000,0,BR
1658124000000,0,BR
1658127600000,0,BR
1658131200000,0,BR
1658134800000,0,BR
1658138400000,0,BR
1658142000000,0,BR
1658145600000,0,BR
1658149200000,0,BR
1658152800000,0,BR
1658156400000,0,BR
1658160000000,0,BR
1658163600000,0,BR
1658167200000,0,BR
1658170800000,0,BR
1658174400000,0,BR
1658178000000,0,BR
1658181600000,0,BR
1658185200000,0,BR
1658188800000,0,BR
1658192400000,0,BR
1658196000000,0,BR
1658199600000,0,BR
1658203200000,0,BR
1658206800000,0,BR
1658210400000,0,BR
1658214000000,0,BR
1658217600000,0,BR
1658221200000,0,BR
1658224800000,0,BR
1658228400000,0,BR
1658232000000,0,BR
1658235600000,0,BR
1658239200000,1,BR
1658242800000,1,BR
1658246400000,1,BR
1658250000000,1,BR
1658253600000,1,BR
1658257200000,1,BR
1658260800000,1,BR
1658264400000,0,BR
1658268000000,0,BR
1658271600000,0,BR
1658275200000,0,BR
1658278800000,0,BR
1658282400000,0,BR
1658286000000,0,BR
1658289600000,0,BR
1658293200000,0,BR
1658296800000,0,BR
1658300400000,0,BR
1658304000000,0,BR
1658307600000,0,BR
1658311200000,0,BR
1658314800000,0,BR
1658318400000,0,BR
1658322000000,0,BR
1658325600000,0,BR
1658329200000,0,BR
1658332800000,0,BR
1658336400000,0,BR
1658340000000,0,BR
1658343600000,0,BR
1658347200000,0,BR
1658350800000,0,BR
1658354400000,0,BR
1658358000000,0,BR
1658361600000,0,BR
1658365200000,0,BR
1658368800000,0,BR
1658372400000,0,BR
1658376000000,0,BR
1658379600000,0,BR
1658383200000,0,BR
1658386800000,0,BR
1658390400000,0,BR
1658394000000,0,BR
1658397600000,0,BR
1658401200000,0,BR
1658404800000,0,BR
1658408400000,0,BR
1658412000000,1,BR
1658415600000,1,BR
1658419200000,0,BR
1658422800000,1,BR
1658426400000,1,BR
1658430000000,1,BR
1658433600000,1,BR
1658437200000,0,BR
1658440800000,0,BR
1658444400000,0,BR
1658448000000,0,BR
1658451600000,0,BR
1658455200000,0,BR
1658458800000,0,BR
1658462400000,0,BR
1658466000000,0,BR
1658469600000,0,BR
1658473200000,0,BR
1658476800000,0,BR
1658480400000,0,BR
1658484000000,0,BR
1658487600000,0,BR
1658491200000,0,BR
1658494800000,0,BR
1658498400000,0,BR
1658502000000,0,BR
1658505600000,0,BR
1658509200000,0,BR
1658512800000,0,BR
1658516400000,0,BR
1658520000000,0,BR
1658523600000,0,BR
1658527200000,0,BR
1658530800000,0,BR
1658534400000,0,BR
1658538000000,0,BR
1658541600000,0,BR
1658545200000,0,BR
1658548800000,0,BR
1658552400000,0,BR
1658556000000,0,BR
1658559600000,0,BR
1658563200000,0,BR
1658566800000,0,BR
1658570400000,0,BR
1658574000000,0,BR
1658577600000,0,BR
1658581200000,0,BR
1658584800000,0,BR
1658588400000,0,BR
1658592000000,0,BR
1658595600000,0,BR
1658599200000,0,BR
1658602800000,0,BR
1658606400000,0,BR
1658610000000,0,BR
1658613600000,0,BR
